"taskID","date","batchName","operation","quantity","event","technology","workstationID"
"528327","_20101010162128","L4578","1180","25","PRP","T9","LPN02"
"71","_20100925063334","","","","MSE","","POD39"
"72","_20100925063336","L46","3516","25","PRP","T14","UVH09"
"74","_20100925063346","L47","2490"," 2","PRP","T2","EPN023"
"75","_20100925063348","L11","1191"," 4","PRP","T2","SCR126"
"76","_20100925063357","L48","3815"," 3","PRP","T9","SCR076"
"77","_20100925063400","L20","5680"," 3","PRP","T6","POX05P1"
"78","_20100925063404","L49","6270","25","PRP","T2","PTU02"
"80","_20100925063406","L50","3842","25","PRP","T4","WRS08"
"81","_20100925063406","L51","4130","25","PRP","T9","WRS08"
"82","_20100925063406","L52","2505","25","PRP","T2","WRS08"
"83","_20100925063406","L53","3842","25","PRP","T3","WRS08"
"84","_20100925063414","L25","5260"," 4","PRP","T10","SCR156"
"87","_20100925063420","L26","6950"," 1","PRP","T4","POX03S1"
"88","_20100925063421","","","","MSE","","POD03"
"89","_20100925063422","L54","4205"," 5","PRP","T4","UVH011"
"78","_20100925063404","L49","6270","25","PRP","T2","PTU02"
"80","_20100925063406","L50","3842","25","PRP","T4","WRS08"
"81","_20100925063406","L51","4130","25","PRP","T9","WRS08"
"82","_20100925063406","L52","2505","25","PRP","T2","WRS08"
"83","_20100925063406","L53","3842","25","PRP","T3","WRS08"
"84","_20100925063414","L25","5260"," 4","PRP","T10","SCR156"
"87","_20100925063420","L26","6950"," 1","PRP","T4","POX03S1"
"88","_20100925063421","","","","MSE","","POD03"
"89","_20100925063422","L54","4205"," 5","PRP","T4","UVH011"
